X (m),Y (m),Z (m),RX_sim,delta
-58.759,76.495,1989.5,-93.16,-13.24
-57.657,75.813,1989.5,-91.42,-16.08
-56.458,74.908,1989.5,-95.09,-10.11
-55.06,73.777,1989.5,-84.46,-21.24
-53.671,72.093,1989.5,-83.15,-20.45
-52.076,70.628,1989.5,-84.11,-19.39
-50.584,69.053,1989.5,-81.89,-22.51
-49.094,67.368,1989.5,-103.83,-1.97
-47.506,65.459,1989.5,-73.27,-32.43
-45.718,63.436,1989.5,-71.62,-33.08
-43.931,61.303,1989.5,-73.61,-31.39
-42.246,59.171,1989.5,-71.84,-27.66
-40.562,56.928,1989.5,-71.39,-30.21
-38.882,54.464,1989.5,-71.95,-30.85
-37.2,52.111,1989.5,-70.45,-25.25
-35.515,49.979,1986.5,-70.18,-23.52
-33.822,48.29,1986.5,-69.45,-29.05
-32.227,46.824,1986.5,-73.25,-28.55
-30.636,45.137,1986.5,-69.08,-36.72
-28.949,43.116,1986.5,-76.23,-27.97
-27.462,41.209,1986.5,-72.94,-33.76
-24.495,36.952,1986.5,-66.38,-40.32
-22.915,34.6,1986.5,-68.15,-38.95
-21.132,32.245,1986.5,-67.24,-34.76
-19.347,30.001,1986.5,-72.53,-29.57
-17.56,27.867,1986.5,-71.73,-31.57
-15.877,25.625,1986.5,-74.54,-28.96
-14.193,23.382,1986.5,-72.08,-31.12
-12.811,21.255,1986.5,-71.6,-33.5
-11.427,19.239,1982.5,-75.08,-29.02
-10.048,16.89,1982.5,-77.49,-27.41
-8.668,14.652,1982.5,-76.78,-28.82
-7.284,12.636,1983.5,-73.38,-31.32
-5.698,10.616,1983.5,-74.85,-35.45
-4.106,8.929,1983.5,-77.38,-29.62
-2.309,7.46,1983.5,-81.26,-23.44
-0.308,6.099,1983.5,-78.58,-26.12
1.799,5.069,1983.5,-67.04,-39.16
4.013,4.369,1983.5,-66.97,-43.83
6.437,4.22,1983.5,-66.44,-40.96
8.872,4.736,1983.5,-66.59,-41.81
11.109,5.476,1983.5,-66.34,-43.26
13.249,6.55,1983.5,-76.7,-43.3
15.294,7.958,1983.5,-73.59,-30.41
17.04,9.704,1983.5,-71.8,-34.9
18.886,11.337,1983.5,-72.79,-30.01
20.633,13.082,1982.5,-79.43,-27.07
22.28,14.94,1982.5,-81.28,-26.02
24.858,18.112,1982.5,-82.32,-24.18
26.294,19.419,1982.5,-79.16,-27.34
27.628,20.617,1984.5,-77.49,-30.11
28.457,21.934,1984.5,-78.61,-26.19
28.283,23.709,1984.5,-73.19,-33.31
26.999,25.613,1984.5,-76.36,-27.84
25.001,27.196,1984.5,-75.23,-29.17
23.0,28.557,1984.5,-74.72,-32.58
21.099,29.806,1984.5,-75.14,-32.16
19.197,31.055,1984.5,-71.0,-35.4
17.402,32.635,1984.5,-74.4,-33.8
15.917,34.652,1984.5,-74.2,-32.4
14.533,36.669,1984.5,-72.64,-32.76
13.046,38.576,1984.5,-72.71,-35.49
11.559,40.483,1984.5,-70.15,-32.85
10.073,42.39,1984.5,-67.06,-36.54
8.586,44.297,1984.5,-68.03,-37.47
7.101,46.315,1984.5,-69.72,-30.38
5.614,48.222,1984.5,-70.11,-30.09
4.026,50.131,1984.5,-71.73,-31.37
2.437,51.929,1989.5,-69.57,-34.13
0.847,53.727,1989.5,-71.16,-31.54
-0.741,55.635,1989.5,-72.15,-34.95
-2.126,57.541,1989.5,-73.29,-33.41
-3.51,59.557,1989.5,-75.81,-30.89
-6.379,63.591,1989.5,-69.65,-34.25
-7.864,65.609,1990.5,-68.72,-36.28
-9.151,67.403,1990.5,-73.1,-31.6
-10.534,69.419,1990.5,-72.22,-31.08
-12.021,71.326,1990.5,-74.64,-31.16
-13.51,73.122,1990.5,-76.31,-32.19
-14.996,75.029,1990.5,-77.51,-30.99
-16.485,76.826,1990.5,-80.15,-27.65
-17.97,78.844,1990.5,-77.72,-30.08
-19.458,80.64,1990.5,-70.86,-37.14
-21.048,82.438,1995.5,-74.82,-32.18
-22.535,84.345,1995.5,-75.93,-32.17
-24.022,86.252,1995.5,-75.18,-33.62
-25.609,88.161,1995.5,-76.02,-30.08
-27.096,90.068,1995.5,-79.77,-29.33
-28.881,92.312,1995.5,-80.32,-29.68
-30.565,94.555,1995.5,-79.15,-28.85
-32.252,96.576,1995.5,-78.94,-30.26
-33.937,98.708,1995.5,-79.65,-31.55
-35.623,100.84,1990.5,-86.02,-25.78
-38.077,105.532,1990.5,-90.5,-26.0
-38.953,107.651,1990.5,-102.2,-15.2
-39.528,109.655,1990.5,-98.95,-9.95
-40.102,111.769,1990.5,-99.98,-20.02
-43.141,117.8,1993.5,-103.41,-0.89
-45.254,118.499,1993.5,-107.21,-12.79
-47.982,118.652,1993.5,-112.64,-7.36
-57.663,113.93,1993.5,-94.71,-1.79
-59.913,112.303,1990.5,-97.0,-9.1
-62.163,110.677,1990.5,-105.19,0.99
-64.412,109.161,1988.5,-102.86,-2.84
-67.065,107.651,1988.5,-82.91,-18.39
-69.615,106.251,1988.5,-89.19,-10.81
-89.099,95.478,1988.5,-87.96,-19.44
-92.16,93.753,1986.5,-91.7,-28.3
-95.423,92.032,1986.5,-115.9,-4.1
-98.381,90.417,1986.5,-120.0,0.0
-101.137,88.798,1986.5,-120.0,0.0
-103.891,87.29,1986.5,-120.0,0.0
-106.646,85.672,1986.5,-120.0,23.7
-108.994,84.268,1986.5,-102.61,9.81
-111.239,82.974,1985.5,-120.0,24.8
-113.786,81.795,1985.5,-101.76,11.36
-116.636,80.621,1985.5,-101.48,8.88
-119.791,79.341,1985.5,-116.4,30.1
-122.949,77.84,1985.5,-116.7,27.5
-126.007,76.337,1985.5,-93.83,2.53
-128.351,75.155,1985.5,-98.63,11.13
-130.486,74.413,1985.5,-96.25,8.25
-132.418,73.779,1985.5,-96.82,2.52
-134.45,73.146,1985.5,-90.88,-1.12
-136.583,72.515,1985.5,-85.54,-3.56
-138.41,72.1,1985.5,-92.99,10.09
-140.34,71.577,1985.5,-96.95,11.55
-142.168,71.052,1985.5,-95.95,14.35
-143.897,70.414,1985.5,-95.6,12.8
-145.83,69.669,1985.5,-95.69,14.49
-147.866,68.815,1985.5,-95.75,16.15
-149.902,67.96,1987.5,-95.62,16.02
-151.835,67.215,1987.5,-95.79,16.19
-153.969,66.584,1987.5,-86.98,2.58
-156.402,66.179,1987.5,-86.23,6.43
-159.037,65.778,1987.5,-85.22,8.82
-161.771,65.599,1987.5,-96.0,26.7
-164.505,65.31,1987.5,-96.19,26.19
-167.141,64.908,1987.5,-95.71,28.41
-169.576,64.393,1987.5,-96.03,27.33
-171.908,63.986,1987.5,-93.66,27.96
-174.242,63.469,1987.5,-96.95,29.05
-176.878,63.067,1987.5,-96.1,23.2
-179.713,62.78,1987.5,-90.37,16.27
-182.75,62.606,1987.5,-92.87,18.47
-185.784,62.543,1987.5,-90.28,16.58
-188.512,62.697,1987.5,-94.47,20.77
-191.238,62.961,1987.5,-91.28,17.58
-193.764,63.112,1987.5,-85.35,11.65
-196.187,63.372,1987.5,-91.7,18.0
-198.615,63.3,1987.5,-92.35,-11.75
-141.841,-81.31,1971.5,-76.5,-15.1
-143.532,-79.51,1971.5,-76.93,-12.57
-145.221,-77.6,1971.5,-77.02,-12.58
-146.809,-75.691,1971.5,-77.68,-9.62
-148.399,-73.893,1971.5,-77.14,-11.56
-149.784,-71.988,1971.5,-80.05,-8.25
-151.172,-70.193,1970.5,-84.87,-0.73
-152.256,-68.403,1972.5,-78.05,-7.35
-153.439,-66.501,1972.5,-77.9,-8.5
-154.42,-64.601,1972.5,-77.48,-5.72
-156.285,-61.026,1972.5,-78.35,-5.95
-157.369,-59.236,1972.5,-120.0,37.4
-158.352,-57.448,1972.5,-84.11,0.51
-159.233,-55.55,1972.5,-83.1,-4.0
-160.081,-51.659,1972.5,-83.22,-5.78
-160.454,-49.658,1972.5,-86.37,-0.03
-160.625,-47.661,1972.5,-84.03,-3.47
-160.695,-45.666,1972.5,-84.05,-5.35
-160.562,-43.673,1972.5,-83.43,-3.47
-160.227,-41.684,1972.5,-79.73,-3.97
-159.79,-39.586,1972.5,-81.15,-2.75
-159.251,-37.489,1975.5,-74.54,-9.66
-158.712,-35.392,1975.5,-85.34,0.44
-158.074,-33.408,1975.5,-78.69,-3.61
-157.335,-31.425,1975.5,-79.14,-2.56
-155.456,-27.687,1975.5,-76.16,-6.54
-154.319,-26.154,1975.5,-77.31,-5.39
-152.779,-24.627,1975.5,-77.71,-5.89
