X (m),Y (m),Z (m),RX_sim,delta
87.066,44.944,2029,-65.04,-14.56
85.949,44.629,2029,-65.01,-14.49
85.136,44.42,2029,-64.8,-13.5
84.833,44.425,2029,-64.87,-14.43
84.732,44.427,2029,-64.87,-13.93
84.532,44.541,2029,-64.91,-15.79
83.015,44.564,2029,-64.8,-14.0
79.681,44.728,2029,-64.44,-13.36
76.045,45.007,2029,-64.09,-13.11
72.918,45.499,2029,-63.86,-12.84
69.789,45.881,2029,-63.69,-14.01
66.556,46.043,2029,-63.51,-14.19
63.324,46.315,2029,-63.13,-13.87
60.19,46.365,2029,-63.04,-14.26
56.955,46.416,2029,-62.78,-14.42
53.821,46.465,2029,-62.54,-13.96
50.483,46.407,2029,-62.39,-13.41
47.347,46.345,2029,-62.26,-10.74
44.213,46.395,2029,-61.92,-9.78
40.978,46.446,2029,-61.8,-7.9
37.844,46.495,2029,-61.66,-9.84
34.611,46.657,2029,-61.66,-9.84
31.477,46.706,2029,-61.57,-12.33
28.343,46.756,2029,-61.48,-6.02
25.207,46.694,2029,-61.44,-3.66
21.971,46.635,2029,-61.45,-2.25
18.736,46.686,2029,-61.42,-1.38
15.603,46.846,2029,-61.47,-3.23
12.471,47.006,2029,-61.76,-2.14
9.337,47.055,2029,-61.89,-2.21
6.201,46.994,2029,-61.95,-2.15
-0.169,46.984,2029,-62.51,-3.09
-3.305,46.922,2029,-62.92,-3.08
-6.54,46.973,2029,-63.45,-0.65
-9.674,47.023,2029,-64.43,-5.57
-12.81,46.961,2029,-64.36,-5.64
-15.944,47.011,2029,-65.06,-4.94
-19.179,47.062,2029,-65.94,-10.16
-22.414,47.113,2029,-66.9,-6.8
-25.548,47.162,2029,-68.1,-3.1
-28.783,47.213,2029,-69.28,-1.42
-32.02,47.153,2029,-70.7,3.5
-38.387,47.365,2029,-92.21,25.71
-44.756,47.465,2029,-78.98,12.18
-47.89,47.515,2029,-76.19,8.19
-51.022,47.675,2029,-74.79,8.09
-54.156,47.724,2029,-74.24,6.84
-57.29,47.774,2029,-74.08,10.88
-63.659,47.874,2029,-74.14,11.54
-66.793,47.923,2029,-75.36,15.76
-73.063,47.912,2029,-75.04,16.84
-76.298,47.963,2029,-79.65,21.25
-79.432,48.012,2029,-81.34,22.74
-82.667,48.063,2029,-83.72,24.32
-85.801,48.112,2029,-86.0,25.5
-88.935,48.162,2029,-88.25,26.85
-92.17,48.213,2029,-84.73,22.23
-95.405,48.264,2029,-84.62,19.82
-98.539,48.313,2029,-96.08,28.68
-101.673,48.363,2029,-98.17,28.47
-104.807,48.412,2029,-99.29,27.29
-108.145,48.354,2029,-101.19,26.29
-111.274,48.736,2029,-96.88,22.48
-114.202,49.004,2029,-96.18,22.58
-116.536,48.486,2029,-86.32,13.12
-118.084,46.516,2029,-93.85,20.65
-118.541,43.199,2029,-91.02,20.92
-117.992,39.534,2029,-90.14,19.34
-116.528,36.187,2029,-89.89,18.09
-114.231,34.378,2029,-86.89,15.49
-111.203,33.998,2029,-88.08,19.98
-107.351,34.602,2029,-86.52,17.32
-103.8,35.321,2029,-88.9,15.9
-100.255,35.709,2029,-87.86,15.76
-93.481,35.602,2029,-87.07,17.47
-90.149,35.328,2029,-88.4,17.3
-86.919,34.944,2029,-86.45,14.85
-83.584,34.781,2029,-85.3,13.9
-80.25,34.618,2029,-82.82,13.02
-77.015,34.567,2029,-80.1,11.2
-73.78,34.515,2029,-79.14,13.74
-70.545,34.464,2029,-78.52,15.62
-64.071,34.584,2029,-84.46,24.76
-60.836,34.533,2029,-87.44,28.54
-57.704,34.373,2029,-85.44,24.64
-54.469,34.322,2029,-81.25,19.15
-51.234,34.271,2029,-71.45,5.95
-47.997,34.331,2029,-69.98,2.58
-44.76,34.39,2029,-69.38,-0.52
-41.628,34.23,2029,-67.99,-1.31
-38.393,34.179,2029,-66.34,-5.06
-35.259,34.13,2029,-66.72,-4.68
-32.024,34.079,2029,-65.08,-6.32
-28.789,34.028,2029,-63.38,-8.02
-25.554,33.977,2029,-61.59,-16.01
-22.32,33.815,2029,-60.46,-19.44
-19.186,33.765,2029,-59.79,-22.71
-15.949,33.825,2029,-59.56,-21.74
-12.918,33.667,2029,-59.16,-20.54
-9.682,33.726,2029,-58.8,-20.1
-6.548,33.677,2029,-58.56,-18.24
-3.312,33.626,2029,-58.35,-15.95
-0.179,33.577,2029,-58.22,-15.08
3.055,33.415,2029,-58.04,-14.86
6.189,33.365,2029,-58.08,-13.12
9.424,33.314,2029,-58.11,-11.29
12.56,33.376,2029,-58.17,-9.73
15.795,33.325,2029,-58.29,-6.21
19.03,33.274,2029,-58.48,-4.62
22.265,33.223,2029,-58.61,-4.09
25.498,33.061,2029,-58.79,-3.61
28.63,32.901,2029,-58.91,-3.69
31.864,32.739,2029,-59.13,-3.57
38.234,32.749,2029,-59.68,-3.42
41.368,32.7,2029,-59.93,-3.07
44.501,32.54,2029,-60.21,-3.19
47.633,32.38,2029,-60.46,-3.44
50.87,32.439,2029,-60.62,-3.68
54.004,32.39,2029,-61.01,-3.29
57.035,32.231,2029,-61.26,-3.14
60.167,32.071,2029,-61.58,-2.82
63.301,32.022,2029,-61.87,-2.53
66.435,31.972,2029,-62.06,-5.44
69.569,31.923,2029,-62.58,-4.92
72.703,31.874,2029,-62.89,-7.91
75.837,31.824,2029,-63.22,-9.68
78.971,31.775,2029,-63.51,-10.29
82.209,31.945,2029,-63.68,-13.22
85.35,32.339,2029,-64.15,-15.45
90.084,31.157,2029,-64.46,-18.04
91.357,28.477,2029,-64.81,-16.49
91.805,24.814,2029,-64.78,-15.22
89.481,18.534,2029,-64.54,-15.16
83.502,17.742,2029,-63.93,-11.27
79.778,18.798,2029,-63.33,-11.37
76.253,19.74,2029,-63.04,-10.66
72.722,20.239,2029,-62.67,-10.33
69.185,20.405,2029,-62.27,-10.43
65.851,20.569,2029,-62.02,-10.58
62.412,20.512,2029,-61.54,-10.06
59.177,20.563,2029,-61.15,-10.75
55.839,20.505,2029,-60.98,-10.42
52.604,20.556,2029,-60.59,-9.21
49.269,20.719,2029,-60.27,-9.93
46.034,20.77,2029,-59.9,-8.3
42.7,20.934,2029,-59.57,-12.23
39.465,20.985,2029,-59.17,-10.23
36.228,20.925,2029,-58.86,-10.34
33.09,20.753,2029,-58.55,-10.85
29.854,20.693,2029,-58.22,-9.18
23.483,20.683,2029,-57.71,-9.89
